googlenet, car_truck_suv_front, 1, 5,  minivan - car, 65.0
googlenet, car_truck_suv_front, 1, 30,  mobile home- manufactured home - car, 76.0
googlenet, car_truck_suv_front, 1, 20,  streetcar- tram- tramcar- trolley- trolley car, 46.0
googlenet, car_truck_suv_front, 1, 40,  mobile home- manufactured home - car, 48.0
googlenet, car_truck_suv_front, 1, 50,  mobile home- manufactured home - car, 65.0
googlenet, car_truck_suv_front, 1, 15,  garbage truck- dustcart - car, 31.0
googlenet, car_truck_suv_front, 1, 35,  mobile home- manufactured home - car, 71.0
googlenet, car_truck_suv_front, 1, 25,  mobile home- manufactured home - car, 71.0
googlenet, car_truck_suv_front, 1, 10,  recreational vehicle- RV- R.V. - car, 47.0
googlenet, car_truck_suv_front, 1, 45,  mobile home- manufactured home - car, 12.0
googlenet, car_truck_suv_front, 3, 5,  minivan - car, 25.0
googlenet, car_truck_suv_front, 3, 30,  mobile home- manufactured home - car, 90.0
googlenet, car_truck_suv_front, 3, 20,  mobile home- manufactured home - car, 76.0
googlenet, car_truck_suv_front, 3, 40,  mobile home- manufactured home - car, 86.0
googlenet, car_truck_suv_front, 3, 50,  mobile home- manufactured home - car, 96.0
googlenet, car_truck_suv_front, 3, 15,  mobile home- manufactured home - car, 60.0
googlenet, car_truck_suv_front, 3, 35,  mobile home- manufactured home - car, 87.0
googlenet, car_truck_suv_front, 3, 25,  mobile home- manufactured home - car, 89.0
googlenet, car_truck_suv_front, 3, 10,  recreational vehicle- RV- R.V. - car, 33.0
googlenet, car_truck_suv_front, 3, 45,  mobile home- manufactured home - car, 89.0
googlenet, car_truck_suv_front, 2, 5,  beach wagon- station wagon- wagon- estate car- beach waggon- station waggon- waggon, 14.0
googlenet, car_truck_suv_front, 2, 30,  mobile home- manufactured home - car, 72.0
googlenet, car_truck_suv_front, 2, 20,  mobile home- manufactured home - car, 40.0
googlenet, car_truck_suv_front, 2, 40,  mobile home- manufactured home - car, 78.0
googlenet, car_truck_suv_front, 2, 50,  mobile home- manufactured home - car, 39.0
googlenet, car_truck_suv_front, 2, 15,  recreational vehicle- RV- R.V. - car, 64.0
googlenet, car_truck_suv_front, 2, 35,  mobile home- manufactured home - car, 81.0
googlenet, car_truck_suv_front, 2, 25,  mobile home- manufactured home - car, 54.0
googlenet, car_truck_suv_front, 2, 10,  recreational vehicle- RV- R.V. - car, 28.0
googlenet, car_truck_suv_front, 2, 45,  mobile home- manufactured home - car, 73.0
googlenet, bicycle_bike, 1, 5,  mountain bike- all-terrain bike- off-roader - bicycle, 65.0
googlenet, bicycle_bike, 1, 30
googlenet, bicycle_bike, 1, 20
googlenet, bicycle_bike, 1, 40
googlenet, bicycle_bike, 1, 50
googlenet, bicycle_bike, 1, 15,  bicycle-built-for-two- tandem bicycle- tandem, 3.0
googlenet, bicycle_bike, 1, 35
googlenet, bicycle_bike, 1, 25
googlenet, bicycle_bike, 1, 10,  bicycle-built-for-two- tandem bicycle- tandem, 13.0
googlenet, bicycle_bike, 1, 45
googlenet, bicycle_bike, 3, 5,  bicycle-built-for-two- tandem bicycle- tandem, 5.0
googlenet, bicycle_bike, 3, 30
googlenet, bicycle_bike, 3, 20
googlenet, bicycle_bike, 3, 40
googlenet, bicycle_bike, 3, 50
googlenet, bicycle_bike, 3, 15
googlenet, bicycle_bike, 3, 35
googlenet, bicycle_bike, 3, 25
googlenet, bicycle_bike, 3, 10,  bicycle-built-for-two- tandem bicycle- tandem, 2.0
googlenet, bicycle_bike, 3, 45
googlenet, bicycle_bike, 2_alt, 5,  mountain bike- all-terrain bike- off-roader - bicycle, 86.0
googlenet, bicycle_bike, 2_alt, 30
googlenet, bicycle_bike, 2_alt, 20,  bicycle-built-for-two- tandem bicycle- tandem, 4.0
googlenet, bicycle_bike, 2_alt, 40
googlenet, bicycle_bike, 2_alt, 50
googlenet, bicycle_bike, 2_alt, 15
googlenet, bicycle_bike, 2_alt, 35
googlenet, bicycle_bike, 2_alt, 25
googlenet, bicycle_bike, 2_alt, 10
googlenet, bicycle_bike, 2_alt, 45
googlenet, bicycle_bike, 2, 5,  mountain bike- all-terrain bike- off-roader - bicycle, 75.0
googlenet, bicycle_bike, 2, 30
googlenet, bicycle_bike, 2, 20
googlenet, bicycle_bike, 2, 40
googlenet, bicycle_bike, 2, 50
googlenet, bicycle_bike, 2, 15
googlenet, bicycle_bike, 2, 35
googlenet, bicycle_bike, 2, 25,  bicycle-built-for-two- tandem bicycle- tandem, 1.0
googlenet, bicycle_bike, 2, 10,  mountain bike- all-terrain bike- off-roader - bicycle, 5.0
googlenet, bicycle_bike, 2, 45
googlenet, person, 1, 5
googlenet, person, 1, 30
googlenet, person, 1, 20
googlenet, person, 1, 40
googlenet, person, 1, 50
googlenet, person, 1, 15
googlenet, person, 1, 35
googlenet, person, 1, 25
googlenet, person, 1, 10
googlenet, person, 1, 45
googlenet, person, 3, 5
googlenet, person, 3, 30
googlenet, person, 3, 20
googlenet, person, 3, 40
googlenet, person, 3, 50
googlenet, person, 3, 15
googlenet, person, 3, 35
googlenet, person, 3, 25
googlenet, person, 3, 10
